number,linux_name,status,dispatch_macros,dispatch_handlers,kernel_macros_at_number,musl_mapping,legacy_alias_if_enabled,test_covered,notes
185,security,native-ok,SYS_security_x86,sys_security,SYS_security_x86,SYS_security=185,,no,native number is wired to matching handler
186,gettid,native-ok,SYS_gettid_x86,sys_gettid,SYS_gettid_x86,SYS_gettid=186,,yes,native number is wired to matching handler
187,readahead,native-ok,SYS_readahead_x86,sys_vfs_readahead,SYS_readahead_x86,SYS_readahead=187,,yes,native number is wired to matching handler
188,setxattr,native-ok,SYS_setxattr_x86,sys_vfs_xattr_not_supported,SYS_setxattr_x86,SYS_setxattr=188,,yes,native number is wired to matching handler
189,lsetxattr,native-ok,SYS_lsetxattr_x86,sys_vfs_xattr_not_supported,SYS_lsetxattr_x86,SYS_lsetxattr=189,,no,native number is wired to matching handler
190,fsetxattr,native-ok,SYS_fsetxattr_x86,sys_vfs_xattr_not_supported,SYS_fsetxattr_x86,SYS_fsetxattr=190,,no,native number is wired to matching handler
191,getxattr,native-ok,SYS_getxattr_x86,sys_vfs_xattr_not_supported,SYS_getxattr_x86,SYS_getxattr=191,,yes,native number is wired to matching handler
192,lgetxattr,native-ok,SYS_lgetxattr_x86,sys_vfs_xattr_not_supported,SYS_lgetxattr_x86,SYS_lgetxattr=192,,no,native number is wired to matching handler
193,fgetxattr,native-ok,SYS_fgetxattr_x86,sys_vfs_xattr_not_supported,SYS_fgetxattr_x86,SYS_fgetxattr=193,,no,native number is wired to matching handler
194,listxattr,native-ok,SYS_listxattr_x86,sys_vfs_xattr_not_supported,SYS_listxattr_x86,SYS_listxattr=194,,yes,native number is wired to matching handler
195,llistxattr,native-ok,SYS_llistxattr_x86,sys_vfs_xattr_not_supported,SYS_llistxattr_x86,SYS_llistxattr=195,,no,native number is wired to matching handler
196,flistxattr,native-ok,SYS_flistxattr_x86,sys_vfs_xattr_not_supported,SYS_flistxattr_x86,SYS_flistxattr=196,,no,native number is wired to matching handler
197,removexattr,native-ok,SYS_removexattr_x86,sys_vfs_xattr_not_supported,SYS_removexattr_x86,SYS_removexattr=197,,yes,native number is wired to matching handler
198,lremovexattr,native-ok,SYS_lremovexattr_x86,sys_vfs_xattr_not_supported,SYS_lremovexattr_x86,SYS_lremovexattr=198,,no,native number is wired to matching handler
199,fremovexattr,native-ok,SYS_fremovexattr_x86,sys_vfs_xattr_not_supported,SYS_fremovexattr_x86,SYS_fremovexattr=199,,no,native number is wired to matching handler
200,tkill,native-ok,SYS_tkill_x86,sys_tkill,SYS_tkill_x86,SYS_tkill=200,,no,native number is wired to matching handler
201,time,native-ok,SYS_time_x86,sys_time,SYS_time_x86,SYS_time=201,,yes,native number is wired to matching handler
202,futex,native-ok,SYS_futex_x86,sys_futex,SYS_futex_x86,SYS_futex=202,,no,native number is wired to matching handler
203,sched_setaffinity,native-ok,SYS_sched_setaffinity_x86,sys_sched_setaffinity,SYS_sched_setaffinity_x86,SYS_sched_setaffinity=203,,yes,native number is wired to matching handler
204,sched_getaffinity,native-ok,SYS_sched_getaffinity_x86,sys_sched_getaffinity,SYS_sched_getaffinity_x86,SYS_sched_getaffinity=204,,yes,native number is wired to matching handler
205,set_thread_area,native-ok,SYS_set_thread_area_x86,sys_set_thread_area,SYS_set_thread_area_x86,SYS_set_thread_area=205,,no,native number is wired to matching handler
206,io_setup,native-ok,SYS_io_setup_x86,sys_io_setup,SYS_io_setup_x86,SYS_io_setup=206,,no,native number is wired to matching handler
207,io_destroy,native-ok,SYS_io_destroy_x86,sys_io_destroy,SYS_io_destroy_x86,SYS_io_destroy=207,,no,native number is wired to matching handler
208,io_getevents,native-ok,SYS_io_getevents_x86,sys_io_getevents,SYS_io_getevents_x86,SYS_io_getevents=208,,no,native number is wired to matching handler
209,io_submit,native-ok,SYS_io_submit_x86,sys_io_submit,SYS_io_submit_x86,SYS_io_submit=209,,no,native number is wired to matching handler
210,io_cancel,native-ok,SYS_io_cancel_x86,sys_io_cancel,SYS_io_cancel_x86,SYS_io_cancel=210,,no,native number is wired to matching handler
211,get_thread_area,native-ok,SYS_get_thread_area_x86,sys_get_thread_area,SYS_get_thread_area_x86,SYS_get_thread_area=211,,no,native number is wired to matching handler
212,lookup_dcookie,native-ok,SYS_lookup_dcookie_x86,sys_lookup_dcookie,SYS_lookup_dcookie_x86,SYS_lookup_dcookie=212,,no,native number is wired to matching handler
213,epoll_create,native-ok,SYS_epoll_create,sys_epoll_create,SYS_epoll_create,SYS_epoll_create=213,,no,native number is wired to matching handler
214,epoll_ctl_old,native-ok,SYS_epoll_ctl_old_x86,sys_epoll_ctl_old,SYS_brk_generic;SYS_epoll_ctl_old_x86,SYS_epoll_ctl_old=214,,yes,native number is wired to matching handler
215,epoll_wait_old,native-ok,SYS_epoll_wait_old_x86,sys_epoll_wait_old,SYS_epoll_wait_old_x86;SYS_munmap_generic,SYS_epoll_wait_old=215,,yes,native number is wired to matching handler
216,remap_file_pages,native-ok,SYS_remap_file_pages_x86,sys_remap_file_pages,SYS_mremap_generic;SYS_remap_file_pages_x86,SYS_remap_file_pages=216,,yes,native number is wired to matching handler
217,getdents64,struct-risk,SYS_getdents64_x86,sys_getdents,SYS_getdents64_x86,SYS_getdents64=217,,yes,native number is wired; audit structs/flags/semantics
218,set_tid_address,native-ok,SYS_set_tid_address_x86,sys_set_tid_address,SYS_set_tid_address_x86,SYS_set_tid_address=218,,yes,native number is wired to matching handler
219,restart_syscall,native-ok,SYS_restart_syscall_x86,sys_restart_syscall,SYS_restart_syscall_x86,SYS_restart_syscall=219,,no,native number is wired to matching handler
220,semtimedop,native-ok,SYS_semtimedop_x86,sys_semtimedop,SYS_semtimedop_x86,SYS_semtimedop=220,,no,native number is wired to matching handler
221,fadvise64,native-ok,SYS_fadvise64_x86,sys_fadvise64,SYS_fadvise64_x86,SYS_fadvise64=221,,no,native number is wired to matching handler
222,timer_create,native-ok,SYS_timer_create_x86,sys_timer_create,SYS_mmap_generic;SYS_timer_create_x86,SYS_timer_create=222,,yes,native number is wired to matching handler
223,timer_settime,native-ok,SYS_timer_settime_x86,sys_timer_settime,SYS_timer_settime_x86,SYS_timer_settime=223,,no,native number is wired to matching handler
224,timer_gettime,native-ok,SYS_timer_gettime_x86,sys_timer_gettime,SYS_timer_gettime_x86,SYS_timer_gettime=224,,no,native number is wired to matching handler
225,timer_getoverrun,native-ok,SYS_timer_getoverrun_x86,sys_timer_getoverrun,SYS_timer_getoverrun_x86,SYS_timer_getoverrun=225,,no,native number is wired to matching handler
226,timer_delete,native-ok,SYS_timer_delete_x86,sys_timer_delete,SYS_mprotect_generic;SYS_timer_delete_x86,SYS_timer_delete=226,,no,native number is wired to matching handler
227,clock_settime,native-ok,SYS_clock_settime_x86,sys_clock_settime,SYS_clock_settime_x86;SYS_msync_generic,SYS_clock_settime=227,,yes,native number is wired to matching handler
228,clock_gettime,native-ok,SYS_clock_gettime_x86,sys_clock_gettime,SYS_clock_gettime_x86;SYS_mlock_generic,SYS_clock_gettime=228,,yes,native number is wired to matching handler
229,clock_getres,native-ok,SYS_clock_getres_x86,sys_clock_getres,SYS_clock_getres_x86;SYS_munlock_generic,SYS_clock_getres=229,,yes,native number is wired to matching handler
230,clock_nanosleep,native-ok,SYS_clock_nanosleep_x86,sys_clock_nanosleep,SYS_clock_nanosleep_x86;SYS_mlockall_generic,SYS_clock_nanosleep=230,,yes,native number is wired to matching handler
231,exit_group,native-ok,SYS_exit_group_x86,sys_exit_group,SYS_exit_group_x86;SYS_munlockall_generic,SYS_exit_group=231,,yes,native number is wired to matching handler
232,epoll_wait,struct-risk,SYS_epoll_wait,sys_epoll_wait,SYS_epoll_wait;SYS_mincore_generic,SYS_epoll_wait=232,,no,native number is wired; audit structs/flags/semantics
233,epoll_ctl,struct-risk,SYS_epoll_ctl,sys_epoll_ctl,SYS_epoll_ctl;SYS_madvise_generic,SYS_epoll_ctl=233,,no,native number is wired; audit structs/flags/semantics
234,tgkill,native-ok,SYS_tgkill_x86,sys_tgkill,SYS_tgkill_x86,SYS_tgkill=234,,no,native number is wired to matching handler
235,utimes,native-ok,SYS_utimes_x86,sys_utimes,SYS_utimes_x86,SYS_utimes=235,,yes,native number is wired to matching handler
236,vserver,native-ok,SYS_vserver_x86,sys_vserver,SYS_vserver_x86,SYS_vserver=236,,no,native number is wired to matching handler
237,mbind,native-ok,SYS_mbind_x86,sys_mbind,SYS_mbind_x86,SYS_mbind=237,,no,native number is wired to matching handler
238,set_mempolicy,native-ok,SYS_set_mempolicy_x86,sys_set_mempolicy,SYS_set_mempolicy_x86,SYS_set_mempolicy=238,,no,native number is wired to matching handler
239,get_mempolicy,native-ok,SYS_get_mempolicy_x86,sys_get_mempolicy,SYS_get_mempolicy_x86,SYS_get_mempolicy=239,,no,native number is wired to matching handler
240,mq_open,native-ok,SYS_mq_open_x86,sys_mq_open,SYS_mq_open_x86,SYS_mq_open=240,,no,native number is wired to matching handler
241,mq_unlink,native-ok,SYS_mq_unlink_x86,sys_mq_unlink,SYS_mq_unlink_x86,SYS_mq_unlink=241,,no,native number is wired to matching handler
242,mq_timedsend,native-ok,SYS_mq_timedsend_x86,sys_mq_timedsend,SYS_mq_timedsend_x86,SYS_mq_timedsend=242,,no,native number is wired to matching handler
243,mq_timedreceive,native-ok,SYS_mq_timedreceive_x86,sys_mq_timedreceive,SYS_mq_timedreceive_x86,SYS_mq_timedreceive=243,,no,native number is wired to matching handler
244,mq_notify,native-ok,SYS_mq_notify_x86,sys_mq_notify,SYS_mq_notify_x86,SYS_mq_notify=244,,no,native number is wired to matching handler
245,mq_getsetattr,native-ok,SYS_mq_getsetattr_x86,sys_mq_getsetattr,SYS_mq_getsetattr_x86,SYS_mq_getsetattr=245,,no,native number is wired to matching handler
246,kexec_load,native-ok,SYS_kexec_load_x86,sys_kexec_load,SYS_kexec_load_x86,SYS_kexec_load=246,,no,native number is wired to matching handler
247,waitid,native-ok,SYS_waitid_x86,sys_waitid,SYS_waitid_x86,SYS_waitid=247,,yes,native number is wired to matching handler
248,add_key,native-ok,SYS_add_key_x86,sys_add_key,SYS_add_key_x86,SYS_add_key=248,,no,native number is wired to matching handler
249,request_key,native-ok,SYS_request_key_x86,sys_request_key,SYS_request_key_x86,SYS_request_key=249,,no,native number is wired to matching handler
250,keyctl,native-ok,SYS_keyctl_x86,sys_keyctl,SYS_keyctl_x86,SYS_keyctl=250,,no,native number is wired to matching handler
251,ioprio_set,native-ok,SYS_ioprio_set_x86,sys_ioprio_set,SYS_ioprio_set_x86,SYS_ioprio_set=251,,yes,native number is wired to matching handler
252,ioprio_get,native-ok,SYS_ioprio_get_x86,sys_ioprio_get,SYS_ioprio_get_x86,SYS_ioprio_get=252,,yes,native number is wired to matching handler
253,inotify_init,native-ok,SYS_inotify_init_x86,sys_inotify_init,SYS_inotify_init_x86,SYS_inotify_init=253,,yes,native number is wired to matching handler
254,inotify_add_watch,native-ok,SYS_inotify_add_watch_x86,sys_inotify_add_watch,SYS_inotify_add_watch_x86,SYS_inotify_add_watch=254,,yes,native number is wired to matching handler
255,inotify_rm_watch,native-ok,SYS_inotify_rm_watch_x86,sys_inotify_rm_watch,SYS_inotify_rm_watch_x86,SYS_inotify_rm_watch=255,,yes,native number is wired to matching handler
256,migrate_pages,native-ok,SYS_migrate_pages_x86,sys_migrate_pages,SYS_migrate_pages_x86,SYS_migrate_pages=256,,no,native number is wired to matching handler
257,openat,struct-risk,SYS_openat_x86,sys_vfs_openat,SYS_openat_x86,SYS_openat=257,,yes,native number is wired; audit structs/flags/semantics
258,mkdirat,native-ok,SYS_mkdirat_x86,sys_vfs_mkdirat,SYS_mkdirat_x86,SYS_mkdirat=258,,no,native number is wired to matching handler
259,mknodat,native-ok,SYS_mknodat_x86,sys_vfs_mknodat,SYS_mknodat_x86,SYS_mknodat=259,,no,native number is wired to matching handler
260,fchownat,native-ok,SYS_fchownat_x86,sys_vfs_fchownat,SYS_fchownat_x86,SYS_fchownat=260,,no,native number is wired to matching handler
261,futimesat,native-ok,SYS_futimesat_x86,sys_futimesat,SYS_futimesat_x86;SYS_prlimit64_generic,SYS_futimesat=261,,yes,native number is wired to matching handler
262,newfstatat,struct-risk,SYS_newfstatat_x86,sys_vfs_fstatat,SYS_newfstatat_x86,SYS_newfstatat=262,,yes,native number is wired; audit structs/flags/semantics
263,unlinkat,native-ok,SYS_unlinkat_x86,sys_vfs_unlinkat,SYS_unlinkat_x86,SYS_unlinkat=263,,no,native number is wired to matching handler
264,renameat,native-ok,SYS_renameat_x86,sys_vfs_renameat,SYS_renameat_x86,SYS_renameat=264,,no,native number is wired to matching handler
265,linkat,native-ok,SYS_linkat_x86,sys_vfs_linkat,SYS_linkat_x86,SYS_linkat=265,,no,native number is wired to matching handler
266,symlinkat,native-ok,SYS_symlinkat_x86,sys_vfs_symlinkat,SYS_symlinkat_x86,SYS_symlinkat=266,,no,native number is wired to matching handler
267,readlinkat,native-ok,SYS_readlinkat_x86,sys_vfs_readlinkat,SYS_readlinkat_x86,SYS_readlinkat=267,,yes,native number is wired to matching handler
268,fchmodat,native-ok,SYS_fchmodat_x86,sys_vfs_fchmodat,SYS_fchmodat_x86,SYS_fchmodat=268,,yes,native number is wired to matching handler
269,faccessat,native-ok,SYS_faccessat_x86,sys_vfs_faccessat,SYS_faccessat_x86,SYS_faccessat=269,,yes,native number is wired to matching handler
270,pselect6,struct-risk,SYS_pselect6_x86,sys_pselect6,SYS_pselect6_x86,SYS_pselect6=270,,yes,native number is wired; audit structs/flags/semantics
271,ppoll,struct-risk,SYS_ppoll_x86,sys_vfs_ppoll,SYS_ppoll_x86,SYS_ppoll=271,,yes,native number is wired; audit structs/flags/semantics
272,unshare,native-ok,SYS_unshare_x86,sys_unshare,SYS_unshare_x86,SYS_unshare=272,,no,native number is wired to matching handler
273,set_robust_list,native-ok,SYS_set_robust_list_x86,sys_set_robust_list,SYS_set_robust_list_x86,SYS_set_robust_list=273,,no,native number is wired to matching handler
274,get_robust_list,native-ok,SYS_get_robust_list_x86,sys_get_robust_list,SYS_get_robust_list_x86,SYS_get_robust_list=274,,no,native number is wired to matching handler
275,splice,native-ok,SYS_splice_x86,sys_splice,SYS_splice_x86,SYS_splice=275,,no,native number is wired to matching handler
276,tee,native-ok,SYS_tee_x86,sys_tee,SYS_tee_x86,SYS_tee=276,,no,native number is wired to matching handler
277,sync_file_range,native-ok,SYS_sync_file_range_x86,sys_vfs_sync_file_range,SYS_sync_file_range_x86,SYS_sync_file_range=277,,yes,native number is wired to matching handler
278,vmsplice,native-ok,SYS_vmsplice_x86,sys_vmsplice,SYS_getrandom_generic;SYS_vmsplice_x86,SYS_vmsplice=278,,no,native number is wired to matching handler
279,move_pages,native-ok,SYS_move_pages_x86,sys_move_pages,SYS_memfd_create_generic;SYS_move_pages_x86,SYS_move_pages=279,,yes,native number is wired to matching handler
280,utimensat,native-ok,SYS_utimensat_x86,sys_utimensat,SYS_utimensat_x86,SYS_utimensat=280,,no,native number is wired to matching handler
281,epoll_pwait,struct-risk,SYS_epoll_pwait,sys_epoll_pwait,SYS_epoll_pwait,SYS_epoll_pwait=281,,no,native number is wired; audit structs/flags/semantics
282,signalfd,struct-risk,SYS_signalfd,sys_signalfd,SYS_signalfd,SYS_signalfd=282,,yes,native number is wired; audit structs/flags/semantics
283,timerfd_create,native-ok,SYS_timerfd_create_x86,sys_timerfd_create,SYS_membarrier_generic;SYS_timerfd_create_x86,SYS_timerfd_create=283,,yes,native number is wired to matching handler
284,eventfd,native-ok,SYS_eventfd_x86,sys_eventfd,SYS_eventfd_x86;SYS_mlock2_generic,SYS_eventfd=284,,yes,native number is wired to matching handler
285,fallocate,native-ok,SYS_fallocate_x86,sys_fallocate,SYS_fallocate_x86,SYS_fallocate=285,,no,native number is wired to matching handler
286,timerfd_settime,struct-risk,SYS_timerfd_settime_x86,sys_timerfd_settime,SYS_timerfd_settime_x86,SYS_timerfd_settime=286,,no,native number is wired; audit structs/flags/semantics
287,timerfd_gettime,struct-risk,SYS_timerfd_gettime_x86,sys_timerfd_gettime,SYS_timerfd_gettime_x86,SYS_timerfd_gettime=287,,no,native number is wired; audit structs/flags/semantics
288,accept4,struct-risk,SYS_accept4_x86,sys_accept4,SYS_accept4_x86,SYS_accept4=288,,yes,native number is wired; audit structs/flags/semantics
289,signalfd4,struct-risk,SYS_signalfd4,sys_signalfd4,SYS_signalfd4,SYS_signalfd4=289,,yes,native number is wired; audit structs/flags/semantics
290,eventfd2,native-ok,SYS_eventfd2,sys_eventfd2,SYS_eventfd2,SYS_eventfd2=290,,no,native number is wired to matching handler
291,epoll_create1,native-ok,SYS_epoll_create1,sys_epoll_create1,SYS_epoll_create1;SYS_statx_generic,SYS_epoll_create1=291,,yes,native number is wired to matching handler
292,dup3,native-ok,SYS_dup3_x86,sys_vfs_dup3,SYS_dup3_x86,SYS_dup3=292,,yes,native number is wired to matching handler
293,pipe2,struct-risk,SYS_pipe2_x86,sys_vfs_pipe2,SYS_pipe2_x86,SYS_pipe2=293,,yes,native number is wired; audit structs/flags/semantics
294,inotify_init1,native-ok,SYS_inotify_init1_x86,sys_inotify_init1,SYS_inotify_init1_x86,SYS_inotify_init1=294,,yes,native number is wired to matching handler
295,preadv,struct-risk,SYS_preadv_x86,sys_vfs_preadv,SYS_preadv_x86,SYS_preadv=295,,yes,native number is wired; audit structs/flags/semantics
296,pwritev,struct-risk,SYS_pwritev_x86,sys_vfs_pwritev,SYS_pwritev_x86,SYS_pwritev=296,,yes,native number is wired; audit structs/flags/semantics
297,rt_tgsigqueueinfo,native-ok,SYS_rt_tgsigqueueinfo_x86,sys_rt_tgsigqueueinfo,SYS_rt_tgsigqueueinfo_x86,SYS_rt_tgsigqueueinfo=297,,no,native number is wired to matching handler
298,perf_event_open,native-ok,SYS_perf_event_open_x86,sys_perf_event_open,SYS_perf_event_open_x86,SYS_perf_event_open=298,,no,native number is wired to matching handler
299,recvmmsg,native-ok,SYS_recvmmsg_x86;SYS_recvmmsg_x86,sys_recvmmsg;sys_ni_enosys,SYS_recvmmsg_x86,SYS_recvmmsg=299,,no,native number is wired to matching handler
300,fanotify_init,native-ok,SYS_fanotify_init_x86,sys_fanotify_init,SYS_fanotify_init_x86,SYS_fanotify_init=300,,no,native number is wired to matching handler
301,fanotify_mark,native-ok,SYS_fanotify_mark_x86,sys_fanotify_mark,SYS_fanotify_mark_x86,SYS_fanotify_mark=301,,no,native number is wired to matching handler
302,prlimit64,native-ok,SYS_prlimit64_x86,sys_prlimit64,SYS_prlimit64_x86,SYS_prlimit64=302,,yes,native number is wired to matching handler
303,name_to_handle_at,native-ok,SYS_name_to_handle_at_x86,sys_name_to_handle_at,SYS_name_to_handle_at_x86,SYS_name_to_handle_at=303,,no,native number is wired to matching handler
304,open_by_handle_at,native-ok,SYS_open_by_handle_at_x86,sys_open_by_handle_at,SYS_open_by_handle_at_x86,SYS_open_by_handle_at=304,,no,native number is wired to matching handler
305,clock_adjtime,native-ok,SYS_clock_adjtime_x86,sys_clock_adjtime,SYS_clock_adjtime_x86,SYS_clock_adjtime=305,,no,native number is wired to matching handler
306,syncfs,native-ok,SYS_syncfs_x86,sys_vfs_syncfs,SYS_syncfs_x86,SYS_syncfs=306,,yes,native number is wired to matching handler
307,sendmmsg,struct-risk,SYS_sendmmsg_x86,sys_sendmmsg,SYS_sendmmsg_x86,SYS_sendmmsg=307,,no,native number is wired; audit structs/flags/semantics
308,setns,native-ok,SYS_setns_x86,sys_setns,SYS_setns_x86,SYS_setns=308,,no,native number is wired to matching handler
309,getcpu,native-ok,SYS_getcpu_x86,sys_getcpu,SYS_getcpu_x86,SYS_getcpu=309,,yes,native number is wired to matching handler
310,process_vm_readv,native-ok,SYS_process_vm_readv_x86,sys_process_vm_readv,SYS_process_vm_readv_x86,SYS_process_vm_readv=310,,no,native number is wired to matching handler
311,process_vm_writev,native-ok,SYS_process_vm_writev_x86,sys_process_vm_writev,SYS_process_vm_writev_x86,SYS_process_vm_writev=311,,no,native number is wired to matching handler
312,kcmp,native-ok,SYS_kcmp_x86,sys_kcmp,SYS_kcmp_x86,SYS_kcmp=312,,no,native number is wired to matching handler
313,finit_module,native-ok,SYS_finit_module_x86,sys_finit_module,SYS_finit_module_x86,SYS_finit_module=313,,no,native number is wired to matching handler
314,sched_setattr,struct-risk,SYS_sched_setattr_x86,sys_sched_setattr,SYS_sched_setattr_x86,SYS_sched_setattr=314,,yes,native number is wired; audit structs/flags/semantics
315,sched_getattr,struct-risk,SYS_sched_getattr_x86,sys_sched_getattr,SYS_sched_getattr_x86,SYS_sched_getattr=315,,yes,native number is wired; audit structs/flags/semantics
316,renameat2,native-ok,SYS_renameat2_x86,sys_vfs_renameat,SYS_renameat2_x86,SYS_renameat2=316,,no,native number is wired to matching handler
317,seccomp,native-ok,SYS_seccomp_x86,sys_seccomp,SYS_seccomp_x86,SYS_seccomp=317,,no,native number is wired to matching handler
318,getrandom,native-ok,SYS_getrandom_x86,sys_getrandom,SYS_getrandom_x86,SYS_getrandom=318,,no,native number is wired to matching handler
319,memfd_create,native-ok,SYS_memfd_create_x86,sys_memfd_create,SYS_memfd_create_x86,SYS_memfd_create=319,,no,native number is wired to matching handler
320,kexec_file_load,native-ok,SYS_kexec_file_load_x86,sys_kexec_file_load,SYS_kexec_file_load_x86,SYS_kexec_file_load=320,,no,native number is wired to matching handler
321,bpf,native-ok,SYS_bpf_x86,sys_bpf,SYS_bpf_x86,SYS_bpf=321,,no,native number is wired to matching handler
322,execveat,native-ok,SYS_execveat_x86,sys_execveat,SYS_execveat_x86,SYS_execveat=322,,no,native number is wired to matching handler
323,userfaultfd,native-ok,SYS_userfaultfd_x86,sys_userfaultfd,SYS_userfaultfd_x86,SYS_userfaultfd=323,,no,native number is wired to matching handler
324,membarrier,native-ok,SYS_membarrier_x86,sys_membarrier,SYS_membarrier_x86,SYS_membarrier=324,,yes,native number is wired to matching handler
325,mlock2,native-ok,SYS_mlock2_x86,sys_mlock2,SYS_mlock2_x86,SYS_mlock2=325,,yes,native number is wired to matching handler
326,copy_file_range,native-ok,SYS_copy_file_range_x86,sys_vfs_copy_file_range,SYS_copy_file_range_x86,SYS_copy_file_range=326,,yes,native number is wired to matching handler
327,preadv2,struct-risk,SYS_preadv2_x86,sys_vfs_preadv2,SYS_preadv2_x86,SYS_preadv2=327,,yes,native number is wired; audit structs/flags/semantics
328,pwritev2,struct-risk,SYS_pwritev2_x86,sys_vfs_pwritev2,SYS_pwritev2_x86,SYS_pwritev2=328,,yes,native number is wired; audit structs/flags/semantics
329,pkey_mprotect,native-ok,SYS_pkey_mprotect_x86,sys_pkey_mprotect,SYS_pkey_mprotect_x86,SYS_pkey_mprotect=329,,no,native number is wired to matching handler
330,pkey_alloc,native-ok,SYS_pkey_alloc_x86,sys_pkey_alloc,SYS_pkey_alloc_x86,SYS_pkey_alloc=330,,no,native number is wired to matching handler
331,pkey_free,native-ok,SYS_pkey_free_x86,sys_pkey_free,SYS_pkey_free_x86,SYS_pkey_free=331,,no,native number is wired to matching handler
332,statx,struct-risk,SYS_statx_x86,sys_statx,SYS_statx_x86,SYS_statx=332,,yes,native number is wired; audit structs/flags/semantics
333,io_pgetevents,native-ok,SYS_io_pgetevents_x86,sys_io_pgetevents,SYS_io_pgetevents_x86,SYS_io_pgetevents=333,,no,native number is wired to matching handler
334,rseq,native-ok,SYS_rseq_x86,sys_rseq,SYS_rseq_x86,SYS_rseq=334,,yes,native number is wired to matching handler
424,pidfd_send_signal,native-ok,SYS_pidfd_send_signal_x86,sys_pidfd_send_signal,SYS_pidfd_send_signal_x86,SYS_pidfd_send_signal=424,,no,native number is wired to matching handler
425,io_uring_setup,native-ok,SYS_io_uring_setup_x86,sys_io_uring_setup,SYS_io_uring_setup_x86,SYS_io_uring_setup=425,,no,native number is wired to matching handler
426,io_uring_enter,native-ok,SYS_io_uring_enter_x86,sys_io_uring_enter,SYS_io_uring_enter_x86,SYS_io_uring_enter=426,,no,native number is wired to matching handler
427,io_uring_register,native-ok,SYS_io_uring_register_x86,sys_io_uring_register,SYS_io_uring_register_x86,SYS_io_uring_register=427,,no,native number is wired to matching handler
428,open_tree,native-ok,SYS_open_tree_x86,sys_open_tree,SYS_open_tree_x86,SYS_open_tree=428,,no,native number is wired to matching handler
429,move_mount,native-ok,SYS_move_mount_x86,sys_move_mount,SYS_move_mount_x86,SYS_move_mount=429,,no,native number is wired to matching handler
430,fsopen,native-ok,SYS_fsopen_x86,sys_fsopen,SYS_fsopen_x86,SYS_fsopen=430,,no,native number is wired to matching handler
431,fsconfig,native-ok,SYS_fsconfig_x86,sys_fsconfig,SYS_fsconfig_x86,SYS_fsconfig=431,,no,native number is wired to matching handler
432,fsmount,native-ok,SYS_fsmount_x86,sys_fsmount,SYS_fsmount_x86,SYS_fsmount=432,,no,native number is wired to matching handler
433,fspick,native-ok,SYS_fspick_x86,sys_fspick,SYS_fspick_x86,SYS_fspick=433,,no,native number is wired to matching handler
434,pidfd_open,native-ok,SYS_pidfd_open_x86,sys_pidfd_open,SYS_pidfd_open_x86,SYS_pidfd_open=434,,no,native number is wired to matching handler
435,clone3,struct-risk,SYS_clone3_x86,sys_clone3,SYS_clone3_generic;SYS_clone3_x86,SYS_clone3=435,,no,native number is wired; audit structs/flags/semantics
436,close_range,native-ok,SYS_close_range_x86,sys_vfs_close_range,SYS_close_range_x86,SYS_close_range=436,,yes,native number is wired to matching handler
437,openat2,native-ok,SYS_openat2_x86,sys_vfs_openat2,SYS_openat2_x86,SYS_openat2=437,,yes,native number is wired to matching handler
438,pidfd_getfd,native-ok,SYS_pidfd_getfd_x86,sys_pidfd_getfd,SYS_pidfd_getfd_x86,SYS_pidfd_getfd=438,,no,native number is wired to matching handler
439,faccessat2,native-ok,SYS_faccessat2_x86,sys_vfs_faccessat,SYS_faccessat2_x86,SYS_faccessat2=439,,no,native number is wired to matching handler
440,process_madvise,native-ok,SYS_process_madvise_x86,sys_process_madvise,SYS_process_madvise_x86,SYS_process_madvise=440,,no,native number is wired to matching handler
441,epoll_pwait2,struct-risk,SYS_epoll_pwait2,sys_epoll_pwait2,SYS_epoll_pwait2,SYS_epoll_pwait2=441,,no,native number is wired; audit structs/flags/semantics
442,mount_setattr,native-ok,SYS_mount_setattr_x86,sys_mount_setattr,SYS_mount_setattr_x86,SYS_mount_setattr=442,,no,native number is wired to matching handler
443,quotactl_fd,native-ok,SYS_quotactl_fd_x86,sys_quotactl_fd,SYS_quotactl_fd_x86,SYS_quotactl_fd=443,,no,native number is wired to matching handler
444,landlock_create_ruleset,native-ok,SYS_landlock_create_ruleset_x86,sys_landlock_create_ruleset,SYS_landlock_create_ruleset_x86,SYS_landlock_create_ruleset=444,,no,native number is wired to matching handler
445,landlock_add_rule,native-ok,SYS_landlock_add_rule_x86,sys_landlock_add_rule,SYS_landlock_add_rule_x86,SYS_landlock_add_rule=445,,no,native number is wired to matching handler
446,landlock_restrict_self,native-ok,SYS_landlock_restrict_self_x86,sys_landlock_restrict_self,SYS_landlock_restrict_self_x86,SYS_landlock_restrict_self=446,,no,native number is wired to matching handler
447,memfd_secret,native-ok,SYS_memfd_secret_x86,sys_memfd_secret,SYS_memfd_secret_x86,SYS_memfd_secret=447,,no,native number is wired to matching handler
448,process_mrelease,native-ok,SYS_process_mrelease_x86,sys_process_mrelease,SYS_process_mrelease_x86,SYS_process_mrelease=448,,no,native number is wired to matching handler
449,futex_waitv,native-ok,SYS_futex_waitv_x86,sys_futex_waitv,SYS_futex_waitv_x86,SYS_futex_waitv=449,,no,native number is wired to matching handler
